libsasl2-modules	2.1.27+dfsg2-3ubuntu1.2	install ok installed
libsasl2-modules-db	2.1.27+dfsg2-3ubuntu1.2	install ok installed
libseccomp2	2.5.3-2ubuntu3~22.04.1	install ok installed
libselinux1	3.3-1build2	install ok installed
libsemanage-common	3.3-1build2	install ok installed
libsemanage2	3.3-1build2	install ok installed
libsensors-config	1:3.6.0-7ubuntu1	install ok installed
libsensors5	1:3.6.0-7ubuntu1	install ok installed
libsepol2	3.3-1build1	install ok installed
libsmartcols1	2.37.2-4ubuntu3.5	install ok installed
libsodium23	1.0.18-1ubuntu0.22.04.1	install ok installed
libsqlite3-0	3.37.2-2ubuntu0.5	install ok installed
libss2	1.46.5-2ubuntu1.2	install ok installed
libssh-4	0.9.6-2ubuntu0.22.04.7	install ok installed
libssl3	3.0.2-0ubuntu1.23	install ok installed
libstdc++-11-dev	11.4.0-1ubuntu1~22.04.3	install ok installed
libstdc++6	12.3.0-1ubuntu1~22.04.3	install ok installed
libsystemd0	249.11-0ubuntu3.20	install ok installed
libtasn1-6	4.18.0-4ubuntu0.2	install ok installed
libtiff5	4.3.0-6ubuntu0.13	install ok installed
libtinfo6	6.3-2ubuntu0.1	install ok installed
libtirpc-common	1.3.2-2ubuntu0.1	install ok installed
libtirpc-dev	1.3.2-2ubuntu0.1	install ok installed
libtirpc3	1.3.2-2ubuntu0.1	install ok installed
libtsan0	11.4.0-1ubuntu1~22.04.3	install ok installed
libubsan1	12.3.0-1ubuntu1~22.04.3	install ok installed
libudev1	249.11-0ubuntu3.20	install ok installed
libunistring2	1.0-1	install ok installed
libuuid1	2.37.2-4ubuntu3.5	install ok installed
libwayland-client0	1.20.0-1ubuntu0.1	install ok installed
libwayland-server0	1.20.0-1ubuntu0.1	install ok installed
libwebp7	1.2.2-2ubuntu0.22.04.2	install ok installed
libwrap0	7.6.q-31build2	install ok installed
libx11-6	2:1.7.5-1ubuntu0.3	install ok installed
libx11-data	2:1.7.5-1ubuntu0.3	install ok installed
libx11-xcb1	2:1.7.5-1ubuntu0.3	install ok installed
libxau6	1:1.0.9-1build5	install ok installed
libxcb-dri2-0	1.14-3ubuntu3	install ok installed
libxcb-dri3-0	1.14-3ubuntu3	install ok installed
libxcb-glx0	1.14-3ubuntu3	install ok installed
libxcb-present0	1.14-3ubuntu3	install ok installed
libxcb-randr0	1.14-3ubuntu3	install ok installed
libxcb-shm0	1.14-3ubuntu3	install ok installed
libxcb-sync1	1.14-3ubuntu3	install ok installed
libxcb-xfixes0	1.14-3ubuntu3	install ok installed
libxcb1	1.14-3ubuntu3	install ok installed
libxdmcp6	1:1.1.3-0ubuntu5	install ok installed
libxext6	2:1.3.4-1build1	install ok installed
libxfixes3	1:6.0.0-1	install ok installed
libxml2	2.9.13+dfsg-1ubuntu0.11	install ok installed
libxmuu1	2:1.1.3-3	install ok installed
